Pattern,Occurrences,Avg_Next_Close_Change,Bullish_Percentage,Bearish_Percentage,Avg_Immediate_Bullish_Hours,Avg_Immediate_Bearish_Hours,Avg_Long_Term_Bullish_Hours,Avg_Long_Term_Bearish_Hours,Uptrend_Percentage,Downtrend_Percentage,Sideways_Percentage,High_Volume_Percentage,Support_Resistance_Breach_Percentage,Daily_Trend_Alignment_Percentage,Best_Hour_of_Day
CDLSEPARATINGLINES,640,0.002208222684201477,43.125,24.53125,2.4875,2.0421875,5.7828125,5.2,15.625,10.9375,73.4375,40.46875,89.53125,22.5,13
CDLSHOOTINGSTAR,61,-0.0012484732027403286,44.26229508196721,54.09836065573771,3.5737704918032787,3.2131147540983607,8.475409836065573,8.0,29.508196721311474,18.0327868852459,52.459016393442624,26.229508196721312,42.62295081967213,39.34426229508197,10
CDLSHORTLINE,6272,0.00018778781255750468,37.13329081632653,35.06058673469388,2.6723533163265305,2.491390306122449,6.791932397959184,6.040019132653061,22.975127551020407,15.625,61.399872448979586,20.59948979591837,23.102678571428573,33.56186224489796,14
CDLSPINNINGTOP,3428,5.640923157059772e-05,49.38739789964994,49.03733955659276,3.5102100350058345,3.33926487747958,8.46703617269545,8.105017502917153,22.957992998833138,21.47024504084014,55.571761960326725,32.55542590431739,14.906651108518087,38.62310385064177,16
CDLSTALLEDPATTERN,84,0.00333862124779139,44.047619047619044,47.61904761904761,3.2857142857142856,2.9047619047619047,8.583333333333334,6.488095238095238,47.61904761904761,14.285714285714285,38.095238095238095,46.42857142857143,92.85714285714286,59.523809523809526,22
CDLSTICKSANDWICH,9,-0.00023920887823360005,44.44444444444444,44.44444444444444,3.5555555555555554,3.3333333333333335,7.777777777777778,7.777777777777778,11.11111111111111,44.44444444444444,44.44444444444444,22.22222222222222,55.55555555555556,44.44444444444444,12
CDLTAKURI,1465,-0.001186079460251636,38.77133105802047,50.10238907849829,3.268259385665529,3.058703071672355,8.10853242320819,7.280546075085324,22.389078498293514,10.921501706484642,66.68941979522184,21.706484641638223,14.129692832764503,29.624573378839592,16
CDLTASUKIGAP,24,0.000827285512081453,41.66666666666667,54.166666666666664,2.7916666666666665,4.166666666666667,8.416666666666666,8.416666666666666,16.666666666666664,20.833333333333336,62.5,25.0,4.166666666666666,29.166666666666668,7
CDLTHRUSTING,27,-0.00805407008634287,51.85185185185185,40.74074074074074,3.3703703703703702,3.1481481481481484,8.0,7.925925925925926,40.74074074074074,11.11111111111111,48.148148148148145,40.74074074074074,0.0,40.74074074074074,21
CDLTRISTAR,15,-0.0015560109394944898,20.0,80.0,2.8,4.2,8.333333333333334,8.666666666666666,33.33333333333333,13.333333333333334,53.333333333333336,33.33333333333333,13.333333333333334,46.666666666666664,21
CDLUNIQUE3RIVER,22,-0.006417240464528059,31.818181818181817,68.18181818181817,3.3636363636363638,3.4545454545454546,7.954545454545454,8.272727272727273,18.181818181818183,13.636363636363635,68.18181818181817,13.636363636363635,27.27272727272727,31.818181818181817,0
CDLUPSIDEGAP2CROWS,1,-0.0022750563640089316,0.0,100.0,4.0,3.0,7.0,9.0,0.0,0.0,100.0,0.0,0.0,0.0,6
CDLXSIDEGAP3METHODS,447,6.0729466301423256e-05,51.67785234899329,48.322147651006716,3.530201342281879,3.4541387024608503,8.612975391498882,8.317673378076062,2.460850111856823,89.48545861297539,8.053691275167784,31.543624161073826,46.5324384787472,91.49888143176734,23
